"No.","Time","Source","Destination","Protocol","Info","Length"
"69","13.986253","192.168.6.68","104.18.32.47","TCP","52664  >  443 [ACK] Seq=939 Ack=1030 Win=255 Len=0","54"
"70","13.995617","192.168.6.68","104.18.32.47","TLSv1.2","Application Data","89"
"71","14.019187","192.168.6.68","216.239.34.180","UDP","58130  >  443 Len=32","74"
"72","14.030546","216.239.34.180","192.168.6.68","UDP","443  >  58130 Len=564","606"
"73","14.030546","216.239.34.180","192.168.6.68","UDP","443  >  58130 Len=85","127"
"74","14.030546","216.239.34.180","192.168.6.68","UDP","443  >  58130 Len=22","64"
"75","14.039978","192.168.6.68","216.239.34.180","UDP","58130  >  443 Len=35","77"
"76","14.078702","192.168.6.68","216.239.34.180","UDP","58130  >  443 Len=32","74"
"77","14.099145","52.96.109.130","192.168.6.68","TLSv1.2","Application Data","95"
"78","14.103104","192.168.6.68","52.96.109.130","TLSv1.2","Application Data","89"
"79","14.103229","192.168.6.68","52.96.109.130","TLSv1.2","Application Data","89"
"80","14.132742","104.18.32.47","192.168.6.68","TCP","443  >  52664 [ACK] Seq=1030 Ack=974 Win=16 Len=0","54"
"81","14.167073","216.239.34.180","192.168.6.68","UDP","443  >  58130 Len=24","66"
"82","14.214169","52.96.109.130","192.168.6.68","TCP","443  >  52365 [ACK] Seq=42 Ack=71 Win=252 Len=0","54"
"83","14.639248","192.168.6.68","172.217.15.206","UDP","60734  >  443 Len=29","71"
"84","14.705635","192.168.6.68","172.172.255.218","TLSv1.2","Application Data","153"
"85","14.756992","172.217.15.206","192.168.6.68","UDP","443  >  60734 Len=26","68"
"86","14.809970","172.172.255.218","192.168.6.68","TLSv1.2","Application Data","223"
"87","14.863595","192.168.6.68","172.172.255.218","TCP","49408  >  443 [ACK] Seq=100 Ack=170 Win=250 Len=0","54"
"88","18.608189","192.168.6.68","140.82.113.26","TCP","52355  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1 [TCP PDU reassembled in 135]","55"
"89","18.764316","140.82.113.26","192.168.6.68","TCP","443  >  52355 [ACK] Seq=1 Ack=2 Win=74 Len=0 SLE=1 SRE=2","66"
"90","19.131314","192.168.6.68","107.167.125.189","TCP","52919  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1","55"
"91","19.275852","107.167.125.189","192.168.6.68","TCP","443  >  52919 [RST] Seq=1 Win=0 Len=0","54"
"92","21.860214","192.168.6.68","172.217.15.206","UDP","60734  >  443 Len=537","579"
"93","22.041773","172.217.15.206","192.168.6.68","UDP","443  >  60734 Len=33","75"
"94","22.075008","192.168.6.68","172.217.15.206","UDP","60734  >  443 Len=33","75"
"95","22.095822","172.217.15.206","192.168.6.68","UDP","443  >  60734 Len=1091","1133"
"96","22.095822","172.217.15.206","192.168.6.68","UDP","443  >  60734 Len=214","256"
"97","22.120070","192.168.6.68","172.217.15.206","UDP","60734  >  443 Len=40","82"
"98","22.121384","192.168.6.68","216.239.34.180","UDP","58130  >  443 Len=549","591"
"99","22.245792","172.217.15.206","192.168.6.68","UDP","443  >  60734 Len=26","68"
"100","22.245792","216.239.34.180","192.168.6.68","UDP","443  >  58130 Len=28","70"
"101","22.283076","192.168.6.68","216.239.34.180","UDP","58130  >  443 Len=32","74"
"102","22.287637","216.239.34.180","192.168.6.68","UDP","443  >  58130 Len=507","549"
"103","22.287637","216.239.34.180","192.168.6.68","UDP","443  >  58130 Len=21","63"
"104","22.300208","192.168.6.68","216.239.34.180","UDP","58130  >  443 Len=35","77"
"105","22.401255","216.239.34.180","192.168.6.68","UDP","443  >  58130 Len=24","66"
"106","25.220445","52.96.165.242","192.168.6.68","TLSv1.2","Application Data","101"
"107","25.267325","192.168.6.68","52.96.165.242","TCP","52279  >  443 [ACK] Seq=1 Ack=142 Win=250 Len=0","54"
"108","27.058198","172.217.15.206","192.168.6.68","UDP","443  >  60734 Len=38","80"
"109","27.090732","192.168.6.68","172.217.15.206","UDP","60734  >  443 Len=33","75"
"110","27.101581","172.217.15.206","192.168.6.68","UDP","443  >  60734 Len=38","80"
"111","27.102645","192.168.6.68","172.217.15.206","UDP","60734  >  443 Len=34","76"
"112","29.310292","52.96.165.242","192.168.6.68","TLSv1.2","Application Data","101"
"113","29.361086","192.168.6.68","52.96.165.242","TCP","52279  >  443 [ACK] Seq=1 Ack=189 Win=250 Len=0","54"
"114","30.865940","192.168.6.68","104.18.32.47","TCP","52320  >  443 [ACK] Seq=10080 Ack=718 Win=255 Len=1400 [TCP PDU reassembled in 118]","1454"
"115","30.865940","192.168.6.68","104.18.32.47","TCP","52320  >  443 [ACK] Seq=11480 Ack=718 Win=255 Len=1400 [TCP PDU reassembled in 118]","1454"
"116","30.865940","192.168.6.68","104.18.32.47","TCP","52320  >  443 [ACK] Seq=12880 Ack=718 Win=255 Len=1400 [TCP PDU reassembled in 118]","1454"
"117","30.865940","192.168.6.68","104.18.32.47","TCP","52320  >  443 [ACK] Seq=14280 Ack=718 Win=255 Len=1400 [TCP PDU reassembled in 118]","1454"
"118","30.865940","192.168.6.68","104.18.32.47","TLSv1.2","Application Data, Application Data, Application Data","549"
"119","30.959235","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=718 Ack=11480 Win=79 Len=0","54"
"120","30.959235","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=718 Ack=12880 Win=79 Len=0","54"
"121","30.963707","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=718 Ack=14280 Win=79 Len=0","54"
"122","30.963707","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=718 Ack=15680 Win=80 Len=0","54"
"123","30.963707","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=718 Ack=16175 Win=80 Len=0","54"
"124","30.963707","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","93"
"125","31.010106","192.168.6.68","104.18.32.47","TCP","52320  >  443 [ACK] Seq=16175 Ack=757 Win=255 Len=0","54"
"126","31.267960","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","343"
"127","31.267960","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","101"
"128","31.267960","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","85"
"129","31.278000","192.168.6.68","104.18.32.47","TLSv1.2","Application Data","89"
"130","31.461011","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1124 Ack=16210 Win=80 Len=0","54"
"131","32.179617","3e:b8:bf:50:dc:ac","Intel_2d:cd:b9","ARP","Who has 192.168.6.68? Tell 192.168.6.72","42"
"132","32.179707","Intel_2d:cd:b9","3e:b8:bf:50:dc:ac","ARP","192.168.6.68 is at b0:7d:64:2d:cd:b9","42"
"133","33.263118","192.168.6.68","35.190.80.1","TCP","52690  >  443 [ACK] Seq=1 Ack=1 Win=250 Len=1","55"
"134","33.266661","140.82.113.26","192.168.6.68","TLSv1.2","Application Data","80"
"135","33.268040","192.168.6.68","140.82.113.26","TLSv1.2","Ignored Unknown Record","84"
"136","33.345721","35.190.80.1","192.168.6.68","TCP","443  >  52690 [ACK] Seq=1 Ack=2 Win=1043 Len=0 SLE=1 SRE=2","66"
"137","33.360956","140.82.113.26","192.168.6.68","TCP","443  >  52355 [ACK] Seq=27 Ack=32 Win=74 Len=0","54"
"138","34.227298","52.96.109.130","192.168.6.68","TLSv1.2","Application Data","95"
"139","34.234028","192.168.6.68","52.96.109.130","TLSv1.2","Application Data, Application Data","124"
"140","34.431473","52.96.109.130","192.168.6.68","TCP","443  >  52365 [ACK] Seq=83 Ack=141 Win=251 Len=0","54"
"141","38.690000","192.168.6.68","172.217.15.206","UDP","60734  >  443 Len=1243","1285"
"142","38.690251","192.168.6.68","172.217.15.206","UDP","60734  >  443 Len=1250","1292"
"143","38.690637","192.168.6.68","172.217.15.206","UDP","60734  >  443 Len=1250","1292"
"144","38.690803","192.168.6.68","172.217.15.206","UDP","60734  >  443 Len=998","1040"
"145","38.833551","172.217.15.206","192.168.6.68","UDP","443  >  60734 Len=33","75"
"146","38.833551","172.217.15.206","192.168.6.68","UDP","443  >  60734 Len=693","735"
"147","38.833551","172.217.15.206","192.168.6.68","UDP","443  >  60734 Len=144","186"
"148","38.852772","192.168.6.68","172.217.15.206","UDP","60734  >  443 Len=40","82"
"149","38.951596","172.217.15.206","192.168.6.68","UDP","443  >  60734 Len=26","68"
"150","43.238053","52.96.165.242","192.168.6.68","TLSv1.2","Application Data","101"
"151","43.278167","192.168.6.68","52.96.165.242","TCP","52279  >  443 [ACK] Seq=1 Ack=236 Win=250 Len=0","54"
"152","43.304249","192.168.6.68","104.18.32.47","TLSv1.2","Application Data, Application Data, Application Data","1148"
"153","43.304500","192.168.6.68","104.18.32.47","TCP","52320  >  443 [ACK] Seq=16210 Ack=1124 Win=254 Len=1400 [TCP PDU reassembled in 157]","1454"
"154","43.304500","192.168.6.68","104.18.32.47","TCP","52320  >  443 [ACK] Seq=17610 Ack=1124 Win=254 Len=1400 [TCP PDU reassembled in 157]","1454"
"155","43.304500","192.168.6.68","104.18.32.47","TCP","52320  >  443 [ACK] Seq=19010 Ack=1124 Win=254 Len=1400 [TCP PDU reassembled in 157]","1454"
"156","43.304500","192.168.6.68","104.18.32.47","TCP","52320  >  443 [ACK] Seq=20410 Ack=1124 Win=254 Len=1400 [TCP PDU reassembled in 157]","1454"
"157","43.304500","192.168.6.68","104.18.32.47","TLSv1.2","Application Data, Application Data","1454"
"158","43.304500","192.168.6.68","104.18.32.47","TLSv1.2","Application Data","290"
"159","43.327007","192.168.6.68","104.18.32.47","TCP","52320  >  443 [ACK] Seq=23446 Ack=1124 Win=254 Len=1400 [TCP PDU reassembled in 163]","1454"
"160","43.327007","192.168.6.68","104.18.32.47","TCP","52320  >  443 [ACK] Seq=24846 Ack=1124 Win=254 Len=1400 [TCP PDU reassembled in 163]","1454"
"161","43.327007","192.168.6.68","104.18.32.47","TCP","52320  >  443 [ACK] Seq=26246 Ack=1124 Win=254 Len=1400 [TCP PDU reassembled in 163]","1454"
"162","43.327007","192.168.6.68","104.18.32.47","TCP","52320  >  443 [ACK] Seq=27646 Ack=1124 Win=254 Len=1400 [TCP PDU reassembled in 163]","1454"
"163","43.327007","192.168.6.68","104.18.32.47","TLSv1.2","Application Data","1454"
"164","43.327007","192.168.6.68","104.18.32.47","TLSv1.2","Application Data","221"
"165","43.402801","104.18.32.47","192.168.6.68","TCP","443  >  52664 [ACK] Seq=1030 Ack=2068 Win=16 Len=0","54"
"166","43.405668","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","93"
"167","43.405668","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1124 Ack=17610 Win=81 Len=0","54"
"168","43.412468","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1124 Ack=19010 Win=81 Len=0","54"
"169","43.412468","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1124 Ack=20410 Win=81 Len=0","54"
"170","43.412468","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1124 Ack=21810 Win=82 Len=0","54"
"171","43.412468","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1124 Ack=23446 Win=82 Len=0","54"
"172","43.412468","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","93"
"173","43.417127","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1163 Ack=26246 Win=83 Len=0","54"
"174","43.426032","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1163 Ack=30446 Win=84 Len=0","54"
"175","43.426032","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","613"
"176","43.426032","104.18.32.47","192.168.6.68","TLSv1.2","Application Data, Application Data","132"
"177","43.426215","192.168.6.68","104.18.32.47","TCP","52664  >  443 [ACK] Seq=2068 Ack=1706 Win=253 Len=0","54"
"178","43.438206","192.168.6.68","104.18.32.47","TLSv1.2","Application Data","89"
"179","43.459267","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1163 Ack=30613 Win=84 Len=0","54"
"180","43.464010","192.168.6.68","104.18.32.47","TCP","52320  >  443 [ACK] Seq=30613 Ack=1163 Win=254 Len=0","54"
"181","43.489713","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","348"
"182","43.490647","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","101"
"183","43.490647","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","85"
"184","43.490783","192.168.6.68","104.18.32.47","TCP","52320  >  443 [ACK] Seq=30613 Ack=1535 Win=252 Len=0","54"
"185","43.495739","192.168.6.68","104.18.32.47","TLSv1.2","Application Data","89"
"186","43.536204","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","552"
"187","43.536204","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","101"
"188","43.536204","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","85"
"189","43.571843","104.18.32.47","192.168.6.68","TCP","443  >  52664 [ACK] Seq=1706 Ack=2103 Win=16 Len=0","54"
"190","43.575947","192.168.6.68","104.18.32.47","TCP","52320  >  443 [ACK] Seq=30648 Ack=2111 Win=250 Len=0","54"
"191","43.588442","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=2111 Ack=30648 Win=84 Len=0","54"
"192","45.647987","192.168.6.68","3.233.158.25","TCP","[TCP Keep-Alive] 52967  >  443 [ACK] Seq=4046 Ack=4366 Win=64512 Len=1","55"
"193","45.796908","3.233.158.25","192.168.6.68","TCP","[TCP Keep-Alive ACK] 443  >  52967 [ACK] Seq=4366 Ack=4047 Win=40448 Len=0 SLE=4046 SRE=4047","66"
"194","47.333935","52.96.165.242","192.168.6.68","TLSv1.2","Application Data","101"
"195","47.377386","192.168.6.68","52.96.165.242","TCP","52279  >  443 [ACK] Seq=1 Ack=283 Win=255 Len=0","54"
"196","50.203451","192.168.6.214","224.0.0.251","MDNS","Standard query 0x0000 PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question","87"
"197","51.135044","192.168.6.68","173.194.216.188","TCP","[TCP Keep-Alive] 52057  >  5228 [ACK] Seq=1 Ack=1 Win=253 Len=1","55"
"198","51.222582","173.194.216.188","192.168.6.68","TCP","[TCP Keep-Alive ACK] 5228  >  52057 [ACK] Seq=1 Ack=2 Win=1046 Len=0 SLE=1 SRE=2","66"
"199","51.225355","192.168.6.68","104.26.1.147","TCP","[TCP Keep-Alive] 52796  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1","55"
"200","51.307484","104.26.1.147","192.168.6.68","TCP","[TCP Keep-Alive ACK] 443  >  52796 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2","66"
"201","51.353805","192.168.6.68","192.168.6.72","DNS","Standard query 0xaa9e A opera.cloudflare-dns.com","84"
"202","51.354465","192.168.6.68","192.168.6.72","DNS","Standard query 0xa5e6 HTTPS opera.cloudflare-dns.com","84"
"203","51.406873","192.168.6.72","192.168.6.68","DNS","Standard query response 0xaa9e A opera.cloudflare-dns.com A 172.64.41.5 A 162.159.61.5","116"
"204","51.430086","192.168.6.68","172.64.41.5","QUIC","Initial, DCID=38f6fa0252a4b5c8, PKN: 1, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PADDING, PING, CRYPTO","1292"
"205","51.430289","192.168.6.68","172.64.41.5","QUIC","Initial, DCID=38f6fa0252a4b5c8, PKN: 2, PING, PING, PADDING, PING, PING, CRYPTO, PING, PADDING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, PING, CRYPTO, CRYPTO, PING, PING, PADDING","1292"
"206","51.430736","192.168.6.68","172.64.41.5","QUIC","0-RTT, DCID=38f6fa0252a4b5c8","124"
"207","51.435898","192.168.6.68","172.64.41.5","QUIC","0-RTT, DCID=38f6fa0252a4b5c8","301"
"208","51.442302","192.168.6.68","172.64.41.5","QUIC","0-RTT, DCID=38f6fa0252a4b5c8","301"
"209","51.447011","192.168.6.68","172.64.41.5","QUIC","0-RTT, DCID=38f6fa0252a4b5c8","302"
"210","51.450689","192.168.6.68","172.64.41.5","QUIC","0-RTT, DCID=38f6fa0252a4b5c8","302"
"211","51.525020","172.64.41.5","192.168.6.68","QUIC","Initial, SCID=01a4afe184dfc75d1ea77ae1d6dfc2e472058e2e, PKN: 0, ACK","1242"
"212","51.525020","172.64.41.5","192.168.6.68","QUIC","Initial, SCID=01a4afe184dfc75d1ea77ae1d6dfc2e472058e2e, PKN: 1, ACK","1242"
"213","51.531325","172.64.41.5","192.168.6.68","QUIC","Initial, SCID=01a4afe184dfc75d1ea77ae1d6dfc2e472058e2e, PKN: 2, CRYPTO","1242"
"214","51.531325","172.64.41.5","192.168.6.68","QUIC","Protected Payload (KP0)","1242"
"215","51.536500","192.168.6.68","172.64.41.5","QUIC","Initial, DCID=01a4afe184dfc75d1ea77ae1d6dfc2e472058e2e, PKN: 8, ACK, PADDING","1292"
"216","51.537368","192.168.6.68","172.64.41.5","QUIC","Handshake, DCID=01a4afe184dfc75d1ea77ae1d6dfc2e472058e2e","132"
"217","51.544173","192.168.6.72","192.168.6.68","DNS","Standard query response 0xa5e6 HTTPS opera.cloudflare-dns.com HTTPS","157"
"218","51.574268","192.168.6.68","172.64.41.5","QUIC","Protected Payload (KP0), DCID=01a4afe184dfc75d1ea77ae1d6dfc2e472058e2e","86"
"219","51.623345","172.64.41.5","192.168.6.68","QUIC","Protected Payload (KP0)","90"
"220","51.623345","172.64.41.5","192.168.6.68","QUIC","Protected Payload (KP0)","66"
"221","51.624729","192.168.6.68","172.64.41.5","QUIC","Protected Payload (KP0), DCID=01a4afe184dfc75d1ea77ae1d6dfc2e472058e2e","85"
"222","51.629621","172.64.41.5","192.168.6.68","QUIC","Protected Payload (KP0)","66"
"223","51.629621","172.64.41.5","192.168.6.68","QUIC","Protected Payload (KP0)","91"
"224","51.630478","192.168.6.68","172.64.41.5","QUIC","Protected Payload (KP0), DCID=01a4afe184dfc75d1ea77ae1d6dfc2e472058e2e","89"
"225","51.636114","172.64.41.5","192.168.6.68","QUIC","Protected Payload (KP0)","663"
"226","51.636804","172.64.41.5","192.168.6.68","QUIC","Protected Payload (KP0)","627"
"227","51.636804","172.64.41.5","192.168.6.68","QUIC","Protected Payload (KP0)","627"
"228","51.636804","172.64.41.5","192.168.6.68","QUIC","Protected Payload (KP0)","627"
"229","51.648877","192.168.6.68","140.82.112.6","TCP","53000  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM","66"
"230","51.661425","192.168.6.68","172.64.41.5","QUIC","Protected Payload (KP0), DCID=01a4afe184dfc75d1ea77ae1d6dfc2e472058e2e","85"
"231","51.661685","192.168.6.68","172.64.41.5","QUIC","Protected Payload (KP0), DCID=01a4afe184dfc75d1ea77ae1d6dfc2e472058e2e","85"
"232","51.662493","192.168.6.68","140.82.113.21","TCP","53001  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM","66"
"233","51.749051","172.64.41.5","192.168.6.68","QUIC","Protected Payload (KP0)","70"
"234","51.760158","140.82.112.6","192.168.6.68","TCP","443  >  53000 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=1024","66"
"235","51.760158","140.82.113.21","192.168.6.68","TCP","443  >  53001 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=1024","66"
"236","51.760456","192.168.6.68","140.82.112.6","TCP","53000  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0","54"
"237","51.760534","192.168.6.68","140.82.113.21","TCP","53001  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0","54"
